Classe,R,G,B
anis,148.0501681373233,145.0180745442708,143.41011463952447
cannelle,173.71271122325473,161.52329132103375,155.64431614773488
carvi,159.3748520139663,144.76473999023435,130.21783432733446
clou_girofle,197.27200041121137,191.19430835802547,188.83532312937731
cubebe,147.9124142601376,136.07193143329926,129.4356725783575
cumin,139.55038691929408,124.87208311898368,112.67905292510986
curcuma,135.8755821924361,113.59166567363437,87.88953158968972
gingembre,131.64437432364812,125.27144158681232,114.79202252342589
paprika,150.1275808061872,120.49806330544608,109.3493454524449
poivre noir,202.59441777533027,198.9812684237178,192.54673971588463
safran,154.65875336783273,148.46751520974294,134.25442957196915
