Classe,Accuracy,Precision,Recall,F1-Score,Support
anis,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
cannelle,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
carvi,1.0,1.0,1.0,1.0,30
clou_girofle,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,30
cubebe,1.0,0.967741935483871,1.0,0.9836065573770492,30
cumin,0.9,0.9,0.9,0.9,30
curcuma,0.9,0.9310344827586207,0.9,0.9152542372881356,30
gingembre,0.9666666666666667,1.0,0.9666666666666667,0.9830508474576272,30
paprika,1.0,0.9375,1.0,0.967741935483871,30
poivre noir,0.8666666666666667,0.896551724137931,0.8666666666666667,0.8813559322033898,30
safran,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,30
